aʊ̯ɡə,øːɡa
ɛɐ̯vaɐ̯tən,vɛnːta
zuːχən,leːta
fɪndən,fɪnːa
fɛɐ̯zuːχən,fœrːsøka
fɔɐ̯beːʁaɪ̯tən,fœrːbɛrɛda
liːbən,ɛlːska
møːɡən,tʏkːa ɔmː
laχən,skratːa
ʁyːʁən,rœːra
vaɪ̯nən,ɡroːta
ʃɪmp͡fən,ɧɛlːa
zɪç ɛɐ̯ɡɐn,fœːrarɡas
zɪç fʏɐ̯çtən,vɑːra rɛdː
fʏɐ̯çtən,frɵkːta
fliːən,flyː
fliːən,rʏmːa
flʏçtən,flyː
zeːən,seː
anʃaʊ̯ən,seː pɔ
anʃaʊ̯ən,bətrakːta
anzeːən,oːsə
høːʁən,hœːra
t͡suːhøːʁən,hœːra poː
t͡suːhøːʁən,lʏsːna tɪlː
pʁoːbiːʁən,smɑːka
pʁoːbiːʁən,smɑːka poː
ʁiːçən,lɵkːta
fyːlən,ɕɛnːa
ʃaɪ̯nən,vɛrːka
ʃaɪ̯nən,tʏkːas
t͡suː zeːən zaɪ̯n,syːnas
t͡suː zeːən zaɪ̯n,kɵnːa seːs
fɛɐ̯neːmən,foː vɛta
fɛɐ̯neːmən,fœːɳɪma
fʁiːʁən,fryːsa
tuːn,jœːra
kœnən,kɵnːa
vɔlən,vɪlːja
anfaŋən,bœrːja
beːndən,avːslɵta
aʊ̯fhøːʁən,slʉːta
aʊ̯fhøːʁən,ɵpːhœra
ɡəlɪŋən,lʏkːas
ɡəʁaːtən,bliː
œfnən,øpːna
ʃliːsən,loːsa
ʃliːsən,stɛŋːa
ʃtɛlən,stɛlːa
zɛt͡sən,sɛtːa
leːɡən,lɛɡːa
bəʁyːʁən,bərœːra
fɛɐ̯bɪndən,fœrːbɪnda
bədɛkən,tɛkːa
bədɛkən,bətɛkːa
aʊ̯fhɛŋən,hɛŋːa
aʊ̯fhɛŋən,hɛŋːa ɵpː
ant͡sʏndən,tɛnːda
ant͡sʏndən,anːtɛnda
ant͡sʏndən,tɛnːda poː
aʊ̯fheːbən,lʏfːta
t͡suːʁʏklasən,lɛmːna
t͡suːʁʏklasən,ɛfːtɛɭɛmna
fɛɐ̯liːʁən,mɪsːta
fɛɐ̯liːʁən,fœːɭɔra
faleːn lasən,tapːa
faleːn lasən,slɛpːa
maχən,jœːra
hɛɐ̯stɛlən,tɪlːvɛrka
hɛɐ̯stɛlən,framːstɛla
baʊ̯ən,bʏɡːa
ʁeːpaːʁiːʁən,reːparɛra
fɛɐ̯bɛsɐn,rɛtːa
fɛɐ̯bɛsɐn,fœrːbɛtra
ɛndɐn,ɛnːdra
ɛndɐn,fœːrɛndra
ɡʁaːbən,ɡrɛːva
bɔʏ̯ɡən,bøjːa
biːɡən,bøjːa
biːɡən,krøːka
dʁeːən,vriːda
vɛndən,vɛnːda
ʊmdʁeːən,vriːda ɔmː
heːbən,hɛːva
hɔχheːbən,lʏfːta
ɛɐ̯ɡʁaɪ̯fən,ɡriːpa
haltən,hɔlːa
dʁʏkən,trʏkːa
ʃiːbən,ɧʉːta
kʁat͡sən,riːva
kʁat͡sən,skrɑːpa
lɛkən,slɪkːa
baɪ̯sən,biːta
abʁaɪ̯sən,sliːta ɑːv
abʁaɪ̯sən,riːva ɑːv
abʃnaɪ̯dən,ɧæːra ɑːv
bɪndən,bɪnːda
ʃtɛkən,stɪkːa
bʁɛçən,bryːta
bʁɛçən,brɪsːta
klɔp͡fən,banːka
klɔp͡fən,klapːa
haʊ̯ən,hɵɡːa
kleːbən,klɪsːtra
ʁaɪ̯bən,ɡniːda
ʃtʁaɪ̯çən,smœrːja
ʃlaɪ̯fən,sliːpa
ʃnaɪ̯dən,ɧæːra
ʃnaɪ̯dən,klɪpːa
ʁʏtəln,skɑːka
ʃʏtəln,rɪsːta
ʃvɛŋkən,svɛŋːa
ʃʏtən,hɛlːa
fʏlən,fʏlːa
aɪ̯nvɪkəln,sloː ɪn
aɪ̯nvɪkəln,vɛkːla iːn
tʁaːɡən,bæːra
ʃlɛpən,slɛːpa
t͡siːən,drɑː
aʊ̯fbeːvaːʁən,fœrːvara
aʊ̯fbeːvaːʁən,tɑː vara poː
vɛɐ̯fən,kasːta
faŋən,fɔŋːa
pakən,ɡriːpa
pakən,ɡriːpa tɑːɡ
fɛɐ̯stɛkən,jømːa
taɪ̯lən,deːla
ʃɪkən,ɧɪkːa
bʁɪŋən,brɪŋːa
hɪnt͡suːfyːɡən,tɪlːɛɡa
bəkɔmən,foː
bəkɔmən,ɛrːhɔla
ɛɐ̯haltən,foː
ɛɐ̯haltən,ɛrːhɔla
neːmən,tɑː
neːmən,tɑːɡa
vɛːlən,vɛlːja
aʊ̯svɛːlən,ɵtːvɛlja
bəvaːʁən,bəvɑːra
bəhɪndɐn,hɪnːdra
bəhɪndɐn,fœrːhɪndra
fɛɐ̯dɛɐ̯bən,fœrːstœra
bəʃɛːdiːɡən,skɑːda
t͡sɛɐ̯bʁɛçən,bryːta iːsær
t͡sɛɐ̯bʁɛçən,bryːta sønːdər
t͡sɛʁaɪ̯sən,riːva sønːdər
t͡sɛʁaɪ̯sən,sliːta sønːdər
t͡sɛɐ̯støːʁən,fœrːstœra
fɛɐ̯bʁɛnən,brɛnːa
fɛɐ̯bʁɛnən,brɛnːa ɵpː
ɡeːbən,jeː
ʁaɪ̯çən,rɛkːa
ʃɛŋkən,ɧɛnːka
fɛɐ̯spʁɛçən,luːva
vʏnʃən,ønːska
loːbən,luːva
loːbən,bərømːa
kʏsən,pɵsːa
viːɡən,vaɡːa
t͡suːdɛkən,tɛkːa
vɛkən,vɛkːa
t͡saɪ̯ɡən,viːsa
fyːʁən,fœːra
leːʁən,læːra
ʊntɛʁɪçtən,ɵnːdɛrvɪsa
aʊ̯ft͡siːən,ɵpːfɔstra
laɪ̯tən,leːda
antʁaɪ̯bən,driːva poː
lasən,foː at
aɪ̯nlaːdən,bjʉːda
aɪ̯nlaːdən,ɪnːbjɵda
fɛɐ̯aɪ̯niːɡən,fœːrɛna
bəzuːχən,bəsøːka
tʁɛfən,møːta
tʁɛfən,trɛffːa
zɪç fɛɐ̯zaməln,fœrːsamla siːɡ
ʃpiːlən,leːka
ʃpiːlən,speːla
zɪŋən,ɧɵŋːa
tant͡sən,danːsa
zɪç tʁɛnən,ɧɪlːjas
fɛɐ̯lasən,lɛmːna
fɛɐ̯lasən,øːvɛrɡə
ʁɛtən,rɛdːa
bəvaχən,bəvɑːka
ʃʏt͡sən,ɧʏdːa
ʃʏt͡sən,bəɧʏdːa
fɛɐ̯taɪ̯diːɡən,fœrːsvara
zɪç ʃlaːɡən,slɔsː
ʃiːsən,ɧʉːta
ziːɡən,seːɡra
ɛɐ̯ɡɐn,fœːrarɡa
ʃlaːɡən,sloː
tʁeːtən,sparːka
ʃtɛçən,stɪkːa
ʃtoːsən,støːta
ʃteːlən,ɧɛːla
ʃtøːʁən,stœːra
bəlɛstiːɡən,jeːnɛra
bəlɛstiːɡən,bəsvæːra
fɛɐ̯bɛɐ̯ɡən,dølːja
tɔʏ̯ʃən,vɪlːsɛlɛda
bətʁyːɡən,bədrɑː
tøːtən,døːda
voːnən,buː
aɐ̯baɪ̯tən,arːbɛta
zaməln,samːla
p͡flʏkən,plɔkːa
jaːɡən,jɑːɡa
fɪʃən,fɪsːka
fasən,fɔŋːa
hyːtən,vakːta
tʁaɪ̯bən,driːva
anbɪndən,bɪnːda fasːt
fʏtɐn,fuːdra
mɛlkən,mjølːka
hakən,hakːa
ɡiːsən,hɛlːa
ɡiːsən,vatːna
ʁaɪ̯fən,mɔŋːna
t͡suːbeːʁaɪ̯tən,tɪlːaɡa
t͡suːbeːʁaɪ̯tən,tɪlːrɛda
kɔχən,kuːka
bakən,bɑːka
bʁaːtən,steːka
ʊmʁyːʁən,rœːra ɔmː
ʃtʁɪkən,stɪkːa
nɛːən,syː
fɛɐ̯bən,færːɡa
ʁaɪ̯niːɡən,rɛnːsa
ʁaɪ̯niːɡən,rɛŋːœra
vaʃən,tvɛtːa
abvɪʃən,tɔrːka ɑːv
ʃpyːlən,spuːla
ʃpyːlən,ɧølːja
feːɡən,fɛjːa
keːʁən,suːpa
baːdən,bɑːda
zɪç vaʃən,tvɛtːa siːɡ
aʊ̯st͡siːən,tɑː av
ant͡siːən,tɑː pɔ
zɪç ant͡siːən,klɛː pɔ siːɡ
kɛmən,kamːa
ʃmʏkən,pʏnːta
ʃmʏkən,smʏkːa
zaːɡən,sɛːɡa
ʃpʁɛçən,tɑːla
ʁeːdən,tɑːla
ʁeːdən,prɑːta
zɪç ʊntɛɐ̯haltən,prɑːta
fʁaːɡən,froːɡa
fʁaːɡən,spœrːja
bɪtən,beː
ɛɐ̯t͡sɛːlən,bərɛtːa
mɪtaɪ̯lən,mɛdːɛla
nɛnən,kalːa
ʁuːfən,ruːpa
pʁaːlən,proːla
pʁaːlən,skryːta
yːbɐzɛt͡sən,tɔlːka
yːbɐzɛt͡sən,øːvɛʂɛta
dɛŋkən,tɛnːka
ɡlaʊ̯bən,truː
bəmɛɐ̯kən,ɵpːmærksama
bəmɛɐ̯kən,lɛɡːa mærːɕɛ tɪlː
ɛɐ̯kɛnən,ɕɛnːa iːɡən
bəɡʁaɪ̯fən,bəɡriːpa
fɛɐ̯ʃteːən,fœrːstɔ
lɛɐ̯nən,læːra siːɡ
vɪsən,veːta
zɪç eːʁɪnɛɐ̯n aːn,mɪnːas
zɪç eːʁɪnɛɐ̯n aːn,kɔma ihoːɡ
fɛɐ̯ɡɛsən,ɡlømːa
mɛsən,mɛːta
t͡sɛːlən,rɛːkna
ʁɛçnən,rɛːkna
leːzən,lɛːsa
maːlən,moːla
t͡saɪ̯çnən,tɛkːna
ʃʁaɪ̯bən,skriːva
bəzɪt͡sən,ɛːɡa
bəzɪt͡sən,bəsɪtːa
kaʊ̯fən,ɕøːpa
fɛɐ̯kaʊ̯fən,sɛlːja
bət͡saːlən,bətɑːla
t͡saːlən,bətɑːla
bəhɛɐ̯ʃən,bəhærːska
ɛɐ̯tʁaːɡən,toːla
ɛɐ̯tʁaːɡən,ɵtːhæɖa
